Year,Month,NumberOfDelFlights,AvgDelayInMin,AvgCarrierDelayInMin,AvgWeatherDelayInMin,AvgNASDelayInMinutes,AvgSecurityDelayInMin,AvgLateAircraftDelayInMin
2016,1,70882,58.2,20.9,2.8,12.7,0.1,21.6
2016,2,61680,64.8,20.7,3.4,16.5,0.1,24.1
2016,3,82569,58.9,18.1,2.1,15.8,0.1,22.8
2016,4,66607,57.8,19.3,2.0,13.4,0.1,22.9
2016,5,75498,58.5,18.9,3.0,13.6,0.1,22.9
2016,6,100361,63.8,20.4,3.1,13.6,0.1,26.6
2016,7,113601,71.3,22.0,3.7,16.5,0.1,29.0
2016,8,103421,67.9,22.6,2.7,15.8,0.1,26.6
2016,9,63686,57.6,19.2,2.3,15.1,0.1,20.9
2016,10,63470,55.4,18.9,1.0,14.9,0.1,20.4
2016,11,58871,55.5,19.1,1.8,13.8,0.1,20.8
2016,12,103593,64.0,20.5,3.2,13.8,0.1,26.4
2017,1,97699,64.4,20.3,3.4,15.7,0.1,24.9
2017,2,64264,60.2,18.9,2.6,15.9,0.0,22.7
2017,3,88638,61.2,19.1,2.1,15.6,0.1,24.3
2017,4,92143,71.5,21.7,4.0,17.8,0.0,28.0
2017,5,96680,63.5,18.6,1.6,18.4,0.1,24.8
2017,6,110719,67.2,19.5,2.9,16.8,0.1,27.9
2017,7,110081,67.7,20.0,3.3,16.5,0.1,27.9
2017,8,104709,62.5,18.9,2.6,15.1,0.1,25.9
2017,9,58914,59.6,20.3,2.4,15.1,0.1,21.7
2017,10,69027,61.0,20.5,1.5,16.0,0.1,22.9
2017,11,51298,57.4,21.0,1.5,13.2,0.3,21.4
2017,12,85302,63.1,20.9,3.9,14.1,0.1,24.0
