Manufacturer,Model,AverageProdYear,NumberOfFlights,DelayedMoreThan15MinPercentage,CancelledPercentage,DivertedPercentage
AERO COMMANDER,1121,"",470,26.8,1.7,0.0
AERO COMMANDER,500 S,1974,1534,18.1,0.8,0.3
AERO COMMANDER,500-B,1964,1411,16.7,0.8,0.2
AERO COMMANDER,690A,1974,19,21.1,0.0,0.0
AEROSPATIALE,AS 355F1,"",1277,25.8,0.9,0.2
AGUSTA SPA,A109E,2001,429,30.8,1.2,0.9
AGUSTA SPA,A119,2006,1468,17.4,1.5,0.1
AIR TRACTOR INC,AT-502B,2013,1235,28.4,2.2,0.2
AIR TRACTOR INC,AT-602,2016,115,14.8,0.0,0.0
AIR TRACTOR INC,AT-802,2017,1771,16.0,0.7,0.2
AIR TRACTOR INC,AT-802A,2015,4866,17.0,0.8,0.1
AIRBUS,A320-251N,2016,13109,21.6,0.1,0.2
AIRBUS,A320-271N,2016,6560,21.0,3.2,0.1
AIRBUS,A321-231,2013,167521,20.2,1.2,0.2
AIRBUS,A321-253N,2017,1107,31.0,0.5,0.2
AIRBUS,A321-271N,2017,54,61.1,0.0,0.0
AIRBUS,A330-223,2004,185,27.6,0.5,0.0
AIRBUS,A330-243,2012,23778,19.6,0.0,0.3
AIRBUS,A330-302,2015,1744,15.8,0.3,0.3
AIRBUS INDUSTRIE,A319-111,2003,53639,20.7,0.0,0.2
AIRBUS INDUSTRIE,A319-112,2002,87552,17.5,0.4,0.2
AIRBUS INDUSTRIE,A319-114,2001,132584,14.5,0.5,0.2
AIRBUS INDUSTRIE,A319-131,1999,135140,14.4,0.0,0.2
AIRBUS INDUSTRIE,A319-132,2004,140160,20.1,1.8,0.1
AIRBUS INDUSTRIE,A320-211,1992,62250,15.4,0.5,0.3
AIRBUS INDUSTRIE,A320-212,1996,102452,14.2,0.5,0.2
AIRBUS INDUSTRIE,A320-214,2009,189616,24.3,0.8,0.3
AIRBUS INDUSTRIE,A320-232,2004,695534,22.2,1.4,0.3
AIRBUS INDUSTRIE,A321-211,2012,122761,18.0,0.5,0.2
AIRBUS INDUSTRIE,A330-323,2004,4173,19.7,0.2,0.4
ALPHA M SCIENTIFIC,SL-A,"",1708,12.9,0.5,0.4
ANTARES,M-33,"",1631,16.9,1.0,0.2
ASTRAEUS AERIAL LLC,V.3CS,"",4935,20.0,0.7,0.3
AVIAT AIRCRAFT INC,A-1B,2007,8525,18.4,1.1,0.2
BARD JOHN A,VANS RV-8A,2004,75,13.3,0.0,1.3
BEECH,35-33,1959,5451,17.7,1.2,0.1
BEECH,35-B33,1961,1567,22.3,2.1,0.3
BEECH,35-C33,1964,1578,20.2,0.6,0.3
BEECH,58TC,"",530,14.0,0.8,0.4
BEECH,60,1968,3165,18.4,0.9,0.2
BEECH,A36,1978,4596,18.7,1.3,0.2
BEECH,B-60,1977,1671,13.7,0.8,0.1
BEECH,B-99,1974,2048,17.7,3.6,0.1
BEECH,B95,1959,54,53.7,1.9,1.9
BEECH,C90,1978,4296,19.5,1.6,0.2
BEECH,C90A,1989,2096,20.5,0.8,0.5
BEECH,E-90,1972,736,28.0,1.6,0.3
BEECH,F90,0,1388,14.6,1.7,0.0
BEECH,K35,1958,6322,19.7,0.9,0.2
