Manufacturer,Model,AverageProdYear,NumberOfFlights,DelayedMoreThan15MinPercentage,CancelledPercentage,DivertedPercentage
AIRBUS INDUSTRIE,A319-131,1998,2,100.0,0.0,0.0
AIRBUS INDUSTRIE,A320-232,1997,6,33.3,0.0,0.0
BOEING,737-71Q,1999,1,100.0,0.0,0.0
BOEING,737-724,1999,1,0.0,0.0,0.0
BOEING,737-824,2004,5,60.0,0.0,0.0
BOEING,737-900ER,2016,1,0.0,0.0,0.0
BOEING,737-924,2001,1,0.0,0.0,0.0
BOEING,737-924ER,2012,3,0.0,0.0,0.0
BOEING,757-224,1999,1,100.0,0.0,0.0
BOMBARDIER INC,CL-600-2D24,2009,9,11.1,0.0,0.0
BOMBARDIER INC,CL600-2D24,2006,1,0.0,0.0,0.0
CANADAIR,CL-600-2B19,2003,1,0.0,0.0,0.0
