Tail_Number, Model, Manufacturer, Engine_Type, Aircraft_Type, Production_Year, Issue_Date, Status, Ownership
000000,Unknown,Unknown,Unknown,Unknown,,,U,U
N102UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-05-26,V,C
N10323,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,1997-07-01,V,C
N103US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-18,V,C
N104UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-01-26,V,C
N104UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-07-02,V,C
N10575,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-24,V,C
N105UA,747-451,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,2007-10-15,V,C
N105UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-07-22,V,C
N106US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-05,V,C
N107UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-24,V,C
N107US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-17,V,C
N108UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-03,V,C
N109UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-10,V,C
N110UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-22,V,C
N11106,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-25,V,C
N11107,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-25,V,C
N11109,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-25,V,C
N11113,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-25,V,C
N11119,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-01-08,V,C
N11121,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-01-22,V,C
N11127,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-03-10,V,C
N11137,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-05-21,V,C
N11140,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-06-16,V,C
N11150,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-10-21,V,C
N11155,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-01-28,V,C
N11164,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-06-09,V,C
N11165,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-06-24,V,C
N11176,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-12,V,C
N11181,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-04-13,V,C
N11184,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-05-25,V,C
N11187,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-07-13,V,C
N11189,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-08-11,V,C
N11191,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-14,V,C
N11192,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-10-05,V,C
